Processing 2x2 minors...
Matrix size: 9x9
Total minors: 1296
Rows: 1 3 | Cols: 5 6 | Det: 1021
Rows: 1 3 | Cols: 5 7 | Det: 2505
Rows: 1 3 | Cols: 5 8 | Det: 3080
Rows: 1 3 | Cols: 6 7 | Det: -107
Rows: 1 3 | Cols: 6 8 | Det: 221
Rows: 1 3 | Cols: 7 8 | Det: 865
Rows: 1 4 | Cols: 0 1 | Det: 953
Rows: 1 4 | Cols: 0 2 | Det: 1921
Rows: 1 4 | Cols: 0 3 | Det: 2835
Rows: 1 4 | Cols: 0 4 | Det: 1542
Rows: 1 4 | Cols: 0 5 | Det: 465
Rows: 1 4 | Cols: 0 6 | Det: 1303
Rows: 1 4 | Cols: 0 7 | Det: 788
Rows: 1 4 | Cols: 0 8 | Det: 2360
Rows: 1 4 | Cols: 1 2 | Det: 2952
Rows: 1 4 | Cols: 1 3 | Det: 3282
Rows: 1 4 | Cols: 1 4 | Det: 2127
Rows: 1 4 | Cols: 1 5 | Det: -929
Rows: 1 4 | Cols: 1 6 | Det: 2170
Rows: 1 4 | Cols: 1 7 | Det: 883
Rows: 1 4 | Cols: 1 8 | Det: 4149
Rows: 1 4 | Cols: 2 3 | Det: -2166
Rows: 1 4 | Cols: 2 4 | Det: -489
Rows: 1 4 | Cols: 2 5 | Det: -3313
Rows: 1 4 | Cols: 2 6 | Det: 338
Rows: 1 4 | Cols: 2 7 | Det: -661
Rows: 1 4 | Cols: 2 8 | Det: 1053
Rows: 1 4 | Cols: 3 4 | Det: 1017
Rows: 1 4 | Cols: 3 5 | Det: -4365
Rows: 1 4 | Cols: 3 6 | Det: 1968
Rows: 1 4 | Cols: 3 7 | Det: -87
Rows: 1 4 | Cols: 3 8 | Det: 4215
Rows: 1 4 | Cols: 4 5 | Det: -2541
Rows: 1 4 | Cols: 4 6 | Det: 603
Rows: 1 4 | Cols: 4 7 | Det: -330
Rows: 1 4 | Cols: 4 8 | Det: 1446
Rows: 1 4 | Cols: 5 6 | Det: 2329
Rows: 1 4 | Cols: 5 7 | Det: 1199
Rows: 1 4 | Cols: 5 8 | Det: 4325
Rows: 1 4 | Cols: 6 7 | Det: -587
Rows: 1 4 | Cols: 6 8 | Det: 299
Rows: 1 4 | Cols: 7 8 | Det: 1244
Rows: 1 5 | Cols: 0 1 | Det: -3740
Rows: 1 5 | Cols: 0 2 | Det: -174
Rows: 1 5 | Cols: 0 3 | Det: -4583
Rows: 1 5 | Cols: 0 4 | Det: 1412
Rows: 1 5 | Cols: 0 5 | Det: -5112
Rows: 1 5 | Cols: 0 6 | Det: 2502
Rows: 1 5 | Cols: 0 7 | Det: -1417
Rows: 1 5 | Cols: 0 8 | Det: 1965
Rows: 1 5 | Cols: 1 2 | Det: 1432
Rows: 1 5 | Cols: 1 3 | Det: -1316
Rows: 1 5 | Cols: 1 4 | Det: 4844
Rows: 1 5 | Cols: 1 5 | Det: -2164
Rows: 1 5 | Cols: 1 6 | Det: 4944
Rows: 1 5 | Cols: 1 7 | Det: -504
Rows: 1 5 | Cols: 1 8 | Det: 3560
Rows: 1 5 | Cols: 2 3 | Det: -1816
Rows: 1 5 | Cols: 2 4 | Det: 766
Rows: 1 5 | Cols: 2 5 | Det: -2058
Rows: 1 5 | Cols: 2 6 | Det: 1188
Rows: 1 5 | Cols: 2 7 | Det: -566
Rows: 1 5 | Cols: 2 8 | Det: 918
Rows: 1 5 | Cols: 3 4 | Det: 5439
Rows: 1 5 | Cols: 3 5 | Det: -853
Rows: 1 5 | Cols: 3 6 | Det: 5178
Rows: 1 5 | Cols: 3 7 | Det: -119
Rows: 1 5 | Cols: 3 8 | Det: 3671
Rows: 1 5 | Cols: 4 5 | Det: -5804
Rows: 1 5 | Cols: 4 6 | Det: 1374
Rows: 1 5 | Cols: 4 7 | Det: -1645
Rows: 1 5 | Cols: 4 8 | Det: 1201
Rows: 1 5 | Cols: 5 6 | Det: 5310
Rows: 1 5 | Cols: 5 7 | Det: 131
Rows: 1 5 | Cols: 5 8 | Det: 3729
Rows: 1 5 | Cols: 6 7 | Det: -1536
Rows: 1 5 | Cols: 6 8 | Det: 216
Rows: 1 5 | Cols: 7 8 | Det: 1084
Rows: 1 6 | Cols: 0 1 | Det: -2174
Rows: 1 6 | Cols: 0 2 | Det: 2112
Rows: 1 6 | Cols: 0 3 | Det: 1159
Rows: 1 6 | Cols: 0 4 | Det: 3006
Rows: 1 6 | Cols: 0 5 | Det: -2184
Rows: 1 6 | Cols: 0 6 | Det: 3893
Rows: 1 6 | Cols: 0 7 | Det: 3005
Rows: 1 6 | Cols: 0 8 | Det: 3150
Rows: 1 6 | Cols: 1 2 | Det: 4744
Rows: 1 6 | Cols: 1 3 | Det: 5992
Rows: 1 6 | Cols: 1 4 | Det: 6678
Rows: 1 6 | Cols: 1 5 | Det: 134
Rows: 1 6 | Cols: 1 6 | Det: 7184
Rows: 1 6 | Cols: 1 7 | Det: 6474
Rows: 1 6 | Cols: 1 8 | Det: 5618
Rows: 1 6 | Cols: 2 3 | Det: -3292
Rows: 1 6 | Cols: 2 4 | Det: 72
Rows: 1 6 | Cols: 2 5 | Det: -4896
Rows: 1 6 | Cols: 2 6 | Det: 1516
Rows: 1 6 | Cols: 2 7 | Det: 268
Rows: 1 6 | Cols: 2 8 | Det: 1416
Rows: 1 6 | Cols: 3 4 | Det: 4725
Rows: 1 6 | Cols: 3 5 | Det: -6091
Rows: 1 6 | Cols: 3 6 | Det: 6900
Rows: 1 6 | Cols: 3 7 | Det: 4831
Rows: 1 6 | Cols: 3 8 | Det: 5687
Rows: 1 6 | Cols: 4 5 | Det: -6894
Rows: 1 6 | Cols: 4 6 | Det: 2025
Rows: 1 6 | Cols: 4 7 | Det: 279
Rows: 1 6 | Cols: 4 8 | Det: 1908
Rows: 1 6 | Cols: 5 6 | Det: 7457
Rows: 1 6 | Cols: 5 7 | Det: 6689
Rows: 1 6 | Cols: 5 8 | Det: 5838
Rows: 1 6 | Cols: 6 7 | Det: -1663
Rows: 1 6 | Cols: 6 8 | Det: 349
Rows: 1 6 | Cols: 7 8 | Det: 1615
Rows: 1 7 | Cols: 0 1 | Det: -3800
Rows: 1 7 | Cols: 0 2 | Det: -1000
Rows: 1 7 | Cols: 0 3 | Det: -2954
Rows: 1 7 | Cols: 0 4 | Det: 585
Rows: 1 7 | Cols: 0 5 | Det: -2402
Rows: 1 7 | Cols: 0 6 | Det: 689
Rows: 1 7 | Cols: 0 7 | Det: -892
Rows: 1 7 | Cols: 0 8 | Det: 2401
Rows: 1 7 | Cols: 1 2 | Det: 0
Rows: 1 7 | Cols: 1 3 | Det: 1672
Rows: 1 7 | Cols: 1 4 | Det: 3420
Rows: 1 7 | Cols: 1 5 | Det: 2736
Rows: 1 7 | Cols: 1 6 | Det: 1748
Rows: 1 7 | Cols: 1 7 | Det: 456
